PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,,Spool-Size-Weld-Spec,
64345-P1B43BL-3,4-Mar,FA44,BW,P1B43BL,1036,1036-2,3-7114-1036-2,10S,,1036-243894BWP1B43BL,#N/A
64959-P1A109J-3,4-Mar,FA18,SW,P1A109J,1042,1042-1,3-7114-1042-1,,,1042-143894SWP1A109J,#N/A
64959-P1A109J-3,4-Mar,FA37,SW,P1A109J,1042,1042-1,3-7114-1042-1,,,1042-143894SWP1A109J,#N/A
64959-P1A109J-3,4-Mar,FA36,SW,P1A109J,1042,1042-1,3-7114-1042-1,,,1042-143894SWP1A109J,#N/A
64959-P1A109J-3,4-Mar,FA17,SW,P1A109J,1042,1042-1,3-7114-1042-1,,,1042-143894SWP1A109J,#N/A
64959-P1A109J-3,4-Mar,FA19,SW,P1A109J,1042,1042-1,3-7114-1042-1,,,1042-143894SWP1A109J,#N/A
64959-P1A109J-3,4-Mar,FA20,SW,P1A109J,1043,1043-1,3-7114-1043-1,,,1043-143894SWP1A109J,#N/A
64959-P1A109J-3,4-Mar,FA32,BW,P1A109J,1044,1044-1,3-7114-1044-1,STD,,1044-143894BWP1A109J,#N/A
64959-P1A109J-3,2-Jan,FA24,BW,P1A109J,1044,1044-2,3-7114-1044-2,STD,,1044-243832BWP1A109J,#N/A
64959-P1A109J-3,1,FA23,BW,P1A109J,1044,1044-2,3-7114-1044-2,STD,,1044-21BWP1A109J,STD
64959-P1A109J-3,4-Mar,FA35,SW,P1A109J,1044,1044-1,3-7114-1044-1,,,1044-143894SWP1A109J,#N/A
65486-P1B43BL-3,4-Mar,FA21,BW,P1B43BL,1048,1048-2,3-7114-1048-2,10S,,1048-243894BWP1B43BL,#N/A
65496-P1B43BL-3,4-Mar,FA13,BW,P1B43BL,1050,1050-3,3-7114-1050-3,10S,,1050-343894BWP1B43BL,#N/A
65496-P1B43BL-3,4-Mar,FA14,BW,P1B43BL,1050,1050-3,3-7114-1050-3,10S,,1050-343894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA9,BW,P1B43BL,1171,1171-2,3-7114-1171-2,10S,,1171-243894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA10,BW,P1B43BL,1171,1171-2,3-7114-1171-2,10S,,1171-243894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA11,BW,P1B43BL,1172,1172-1,3-7114-1172-1,10S,,1172-143894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA21,BW,P1B43BL,1172,1172-1,3-7114-1172-1,10S,,1172-143894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA22,BW,P1B43BL,1172,1172-1,3-7114-1172-1,10S,,1172-143894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA12,BW,P1B43BL,1172,1172-1,3-7114-1172-1,10S,,1172-143894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA14,BW,P1B43BL,1172,1172-2,3-7114-1172-2,10S,,1172-243894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA13,BW,P1B43BL,1172,1172-2,3-7114-1172-2,10S,,1172-243894BWP1B43BL,#N/A
64778-P1B43BL-3,4-Mar,FA15,BW,P1B43BL,1172,1172-3,3-7114-1172-3,10S,,1172-343894BWP1B43BL,#N/A
