spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
13-1,MK-000-P-9919-40-1,CS,2/6/2020,,2,40,13,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/7/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,1,7,18,2,27,,,,,
14-1,MK-000-P-9919-41-1,CS,2/13/2020,,2,40,14,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
15-1,MK-000-P-20034-40-1,CS,2/14/2020,,2,40,15,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/17/2020,,,2/25/2020,3/19/2020,34,1,2,8,,,31,,,,,
15-2,MK-000-P-20034-40-2,CS,2/24/2020,,2,40,15,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/4/2020,3/17/2020,,3/6/2020,3/23/2020,28,9,0,2,11,6,19,,,,,
16-1,MK-000-WF-9762-70-1,CS,2/20/2020,,1,70,16,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/6/2020,3/22/2020,3/11/2020,3/12/2020,3/12/2020,21,11,4,6,10,,6,5,1,,,
17-1,MK-000-FW-32054-40-1,CS,2/20/2020,,2,40,17,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/6/2020,,4/8/2020,4/9/2020,5/20/2020,90,12,3,34,,,75,33,1,,,
18-1,MK-000-FW-32054-41-1,CS,2/20/2020,,2,40,18,ISS,ISS,PA,,2,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/8/2020,,4/8/2020,4/9/2020,5/20/2020,90,12,5,32,,,73,31,1,,,
18-2,MK-000-FW-32054-41-2,CS,2/20/2020,,2,40,18,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/7/2020,,4/8/2020,4/9/2020,5/20/2020,90,12,4,33,,,74,32,1,,,
19-1,MK-000-FW-32057-40-1,CS,2/20/2020,,2,40,19,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/6/2020,,4/8/2020,4/9/2020,5/20/2020,90,12,3,34,,,75,33,1,,,
20-1,MK-000-FW-32057-41-1,CS,2/20/2020,,2,40,20,ISS,ISS,PA,,2,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/3/2020,3/10/2020,,4/8/2020,4/9/2020,5/20/2020,90,12,7,30,,,71,29,1,,,
20-2,MK-000-FW-32057-41-2,CS,2/20/2020,,2,40,20,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/29/2020,,4/8/2020,4/9/2020,5/20/2020,90,6,3,40,,,81,39,1,,,
21-1,MK-000-P-9907-32-1,CS,2/18/2020,,3,30,21,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,1,11,13,2,26,,,,,
22-1,MK-000-P-9908-31-1,CS,2/19/2020,,3,30,22,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,3/2/2020,3/23/2020,,3/5/2020,3/26/2020,36,1,11,3,18,3,24,,,,,
23-1,MK-000-P-9908-33-1,CS,2/18/2020,,3,30,23,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,1,11,13,2,26,,,,,
23-2,MK-000-P-9908-33-2,CS,2/18/2020,,3,30,23,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,1,11,13,2,26,,,,,
24-1,MK-000-P-9026-70-1,CS,2/27/2020,,1,70,24,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/2/2020,3/23/2020,,3/11/2020,3/23/2020,25,1,3,9,12,0,21,,,,,
24-2,MK-000-P-9026-70-2,CS,2/27/2020,,1,70,24,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/2/2020,3/23/2020,,3/10/2020,3/23/2020,25,1,3,8,13,0,21,,,,,
25-1,MK-000-P-9026-71-1,CS,2/27/2020,,1,70,25,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/1/2020,3/23/2020,,3/10/2020,3/23/2020,25,1,2,9,13,0,22,,,,,
26-1,MK-000-P-9028-70-1,CS,2/28/2020,,1,70,26,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/3/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,3,1,7,9,7,23,6,1,,,
26-2,MK-000-P-9028-70-2,CS,2/20/2020,,1,70,26,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/26/2020,3/13/2020,3/18/2020,3/30/2020,39,7,2,18,8,4,30,13,5,,,
27-1,MK-000-P-9028-72-1,CS,2/20/2020,,1,70,27,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/3/2020,3/17/2020,3/5/2020,3/6/2020,3/23/2020,32,7,5,3,11,6,20,2,1,,,
27-2,MK-000-P-9028-72-2,CS,2/20/2020,,1,70,27,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/3/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,39,7,5,14,9,4,27,10,4,,,
