BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH,, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,l
PIPING/FIELD/J04/330F,1,1792-TW-1082~1 1/2,1 1/2,"- THERMOWELL BY INSTRUMENTS    - OE Status in model  3 - OE Status in catalog  3 1792 TW 1082 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,330F,,-,FB8,1,None,,
PIPING/FIELD/J04/331FA,1,VCCBUAAINZZ007~1 1/2,1 1/2,"- CAGCBD CHECK VALVE; ASME CL 150; FLGD RF; SS  - OE Status  0 CUST TAG: FB8:L22BH3PQ - L22BH3PQ 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,331FA,,-,FB8,1,None,,
PIPING/FIELD/J04/331FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,331FB,,-,FB8,1,None,,
PIPING/FIELD/J04/331FC,1,1792-PI-10171~3/4,4-Mar,"- PRESSURE INDICATOR BY INSTRUMENTS    - OE Status in model  3 - OE Status in catalog  3 1792 PI 10171 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,331FC,,-,FB8,1,None,,
PIPING/FIELD/J04/332F,1,VBCAUAAITLZ024~1 1/2,1 1/2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 1 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,332F,,-,FB8,1,None,,
PIPING/FIELD/J04/333FA,1,1792-FE-1136~2,2,"- ORIFICE PLATE BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  3 1792 FE 1136 2""",1,ea,1,VALVES / IN-LINE ITEMS,333FA,,-,FB8,1,None,,
PIPING/FIELD/J04/333FB,1,PTPVAGRTZZIAJZ~1/2,2-Jan,"- PLG BARSTOCK; ASME B16.11; ROUND HD; MNPT; SS ASTM A182 GR F316/F316L (DUAL-STAMPED) - L370HBW 1/2""",1,ea,1,FITTINGS,333FB,,-,FB8,1,None,,
PIPING/FIELD/J04/333FC,1,1792-FT-1136_TAPH~1/2,2-Jan,"- PRESSURE TRANSMITTER BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  39 1792 FT 1136_TAPH 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,333FC,,-,FB8,1,None,,
PIPING/FIELD/J04/333FD,1,VG8DJBQINAZ001~1/2,2-Jan,"- GYGCBJ GATE VALVE; API CL 800; FNPT; SS; HNDWHL OPR; STD PORT  - OE Status  0 CUST TAG: FB8:L20KHOHM - L20KHOHM 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,333FD,,-,FB8,1,STD,,
PIPING/FIELD/J04/334FA,1,PTPVAGRTZZIAJZ~1/2,2-Jan,"- PLG BARSTOCK; ASME B16.11; ROUND HD; MNPT; SS ASTM A182 GR F316/F316L (DUAL-STAMPED) - L370HBW 1/2""",1,ea,1,FITTINGS,334FA,,-,FB8,1,None,,
PIPING/FIELD/J04/334FB,1,1792-FT-1136_TAPL~1/2,2-Jan,"- PRESSURE TRANSMITTER BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  39 1792 FT 1136_TAPL 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,334FB,,-,FB8,1,None,,
PIPING/FIELD/J04/334FC,1,VG8DJBQINAZ001~1/2,2-Jan,"- GYGCBJ GATE VALVE; API CL 800; FNPT; SS; HNDWHL OPR; STD PORT  - OE Status  0 CUST TAG: FB8:L20KHOHM - L20KHOHM 1/2""",1,ea,1,VALVES / IN-LINE ITEMS,334FC,,-,FB8,1,STD,,
PIPING/FIELD/J04/335FA,1,VBCAUAAITLZ024~2,2,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 2""",1,ea,1,VALVES / IN-LINE ITEMS,335FA,,-,FB8,1,None,,
PIPING/FIELD/J04/335FB,1,VBCAUAAITLZ024~3/4,4-Mar,"- BAGKCN BALL VALVE; ASME CL 150; FLGD RF; SS; LVR HDL OPR; FULL PORT  - OE Status  0 CUST TAG: FB8:L25BH3AF - L25BH3AF 3/4""",1,ea,1,VALVES / IN-LINE ITEMS,335FB,,-,FB8,1,None,,
