,,,,,,Piping Line List,,,,,,,
,,,,,,: Total Drawing,,,,,,,
,,,,,,: Total Spools,,,,,,,
,,,,,Client Name: SASOL,: Hold,,,,,,,
,,,,,Job No: 6112,: Issued,,,,,,,
,,,,,Project Title:  EO-EG / A.G.,: Spools not Issued for fab.,,,,,,,
,,,,,,: Average Spools Per Drawing,,,,,,,
,,,,,,: Percent Complete,,,,,,,
0,0,,,,,,,,,,,,
In Detailing,In Checking,Priority Group,Priority #,Area,Line No.,Spool ID,Material,ISO,SPOOL,Shop,Status,HOLD,0
ISS,ISS,,1,01X,"18""-XK-020-1217-B135-40-H",MK-02001X-1217-001C,SS,62,62-C,M,11/8/2016,,
ISS,ISS,,1,01X,"18""-XK-020-2023-D135-01-H",MK-02001X-2023-001A,SS,63,63-A,M,1/4/2017,,
ISS,ISS,,1,01X,"18""-XK-020-2023-D135-01-H",MK-02001X-2023-001B,SS,63,63-B,M,1/4/2017,,
ISS,ISS,,1,01X,"18""-XK-020-2023-D135-01-H",MK-02001X-2023-001C,SS,63,63-C,M,1/4/2017,,
ISS,ISS,,1,01X,"6""-CL-020-2039-A135-01-H",MK-02001X-2039-001A,SS,64,64-A,M,11/16/2016,,
ISS,ISS,,1,01X,"6""-CL-020-2039-A135-01-H",MK-02001X-2039-001B,SS,64,64-B,M,11/16/2016,,
ISS,ISS,,1,01X,"6""-CL-020-2039-A135-01-H",MK-02001X-2039-002A,SS,65,65-A,M,11/16/2016,,
ISS,ISS,,1,01X,"6""-CL-020-2039-A135-01-H",MK-02001X-2039-002B,SS,65,65-B,M,11/16/2016,,
ISS,ISS,,1,01X,"6""-CL-020-2039-A135-01-H",MK-02001X-2039-002C,SS,65,65-C,M,11/16/2016,,
ISS,ISS,,1,01X,"3""-WX-020-2062-A135-01-N",MK-02001X-2062-001A,SS,66,66-A,M,11/16/2016,,
ISS,ISS,,1,01X,"3""-WX-020-2062-A135-01-N",MK-02001X-2062-001B,SS,66,66-B,M,11/16/2016,,
ISS,ISS,,1,01X,"3""-WX-020-2062-A135-01-N",MK-02001X-2062-002A,SS,67,67-A,BR,11/10/2016,,
ISS,ISS,,1,01X,"20""-HL-020-2073-A135-01-P",MK-02001X-2073-001A,SS,68,68-A,M,11/10/2016,,
ISS,ISS,,1,01X,"20""-HL-020-2073-A135-01-P",MK-02001X-2073-001B,SS,68,68-B,M,11/21/2016,,
